PRODUCT NAME,PRODUCT_ID,DESCRIPTION,CATEGORY,IMAGE_URL,PRICE
Wooden wall clock,1,It is a beautiful wooden wall clock with simple design and can be installed in any room ending up giving classy look. And this wall clock doesn’t make any ticking sound and good enough for long term use,Wall Decor,https://ii2.pepperfry.com/media/wysiwyg/banners/bedroom_let_sget_web_25012022_4.jpg,Rs.589
Miniature Plant,2, Miniature Plants are perfect as table top planters and can be used as gifting to your loved ones.,Home Decor,https://ii1.pepperfry.com/media/catalog/product/w/h/494x544/white-marble-big-cylindrical-terrazzo-planter-by-posh-n-plush-white-marble-big-cylindrical-terrazzo--nckmpx.jpg,Rs.365
Miniature Plant,3,Thinking for renovation of room's decoration then go for this stylish yet beautiful planter pot. We bring a lot of varieties in planter pots according to needs and requirement of room decor. ,Home Decor,https://ii3.pepperfry.com/media/catalog/product/g/r/494x544/grey-bowl-terrazzo-planter-by-posh-n-plush-grey-bowl-terrazzo-planter-by-posh-n-plush-1izafs.jpg,Rs.487
Marble wall art,4,"Beautify your walls with the artistic make, intricate detailing, variety of colors and designs which gives finishing look to your wall",Wall Decor,https://ii1.pepperfry.com/media/catalog/product/w/h/494x544/white-marble-tribe-love-wall-art-by-posh-n-plush-white-marble-tribe-love-wall-art-by-posh-n-plush-dkhiub.jpg,Rs.599
Retro telephone figurine,5,"This Is A Dummy Vintage Style Phone. It Reminds Us Of The Time When Such Phones Highlighted One Corner Of Our Room. It Is A Great Possession For Vintage Lovers, Office Decor, Home Decor And Suitable For Gifting.",Table Décor,https://ii3.pepperfry.com/media/catalog/product/a/n/494x544/antique-vintage-brass---wood-dummy-retro-telephone-by-exim-decor-antique-vintage-brass---wood-dummy--xjrezn.jpg,Rs.999
Beige wool and art silk carpet,6,"RIWAAYAT means tradition... This beige and brown artsilk rug is inspired from the exquisite floral carvings etched on the arches of the magnificent Taj Mahal, staying true to its tradition yet outshining itself through the modern touch of vibrant colours and contemporary detailings to suit every home.",Carpets,https://ii1.pepperfry.com/media/catalog/product/b/e/494x544/beige-wool-and-art-silk--vintage-4-x-6--feet-hand-tufted-carpet-by-joyrugs-by-littlelooms-beige-wool-parjtw.jpg,Rs.1549
Traditional polyster carpet,7,This Eden turf sold by Fourwalls is designed for comfort and utmost durability with thatch composition. ,Carpets,https://ii3.pepperfry.com/media/catalog/product/t/r/494x544/traditional-polyester-machine-made-35x-60-ft-carpet-traditional-polyester-machine-made-35x-60-ft-car-6z0gxj.jpg,Rs.1899
Single seater sofa,8,"Recliners founded with a revolutionary idea of creating ultra-luxury seating with supreme comfort in India. Having a legacy of 23 years, we are proud to present the brand which stands for; Style, Comfort, Quality and customization.",Sofas,https://ii2.pepperfry.com/media/catalog/product/m/a/494x544/magna-1-seater-recliner-in-dark-brown-colour-by-recliners-india-magna-1-seater-recliner-in-dark-brow-bjvapt.jpg,Rs.13999
Modern queen sized bed,9,"Mintwud is a classic amalgamation of form and function. Crafted for compact homes, the range is clean and convenient and has an understated design aesthetic that adapts to any space.",Beds,https://ii1.pepperfry.com/media/catalog/product/g/l/494x544/glaze-queen-bed-with-hydraulic-3-4-lift-on-storage-glaze-queen-bed-with-hydraulic-3-4-lift-on-storag-1mnnhd.jpg,Rs.28999
Trundle kids bed,10,"Ideas popped out, bopped around, darted across the rooms and bounced off the wall , the very quirky, curious and witty home dcor products and furniture ranging from the the day one is born till they grow old of Lycka was conceived.",Beds,https://ii1.pepperfry.com/media/catalog/product/m/c/494x544/mczoe-trundle-bed-with-headboard-storage-in-satin-white---sea-green-finish-by-mollycoddle-mczoe-trun-kvofaz.jpg,Rs.14999
Modern 4 Door wardrobe,11,"Modern Living furniture offers a wide range of furniture that is strong, durable and tough. It comes from the house of Spacewood, which is Indias largest furniture manufacturer.",Wardrobes,https://ii2.pepperfry.com/media/catalog/product/l/i/494x544/linden-4-door-wardrobe-with-mirror-in-wenge-finish-by-spacewood-linden-4-door-wardrobe-with-mirror-i-8j3hhw.jpg,Rs.24987
